Record;Event;Artist;Description;Date;Museum/Institution;Medium and support;Dimensions;Related images or documents;Author;Recipient/dedicatee;Title;Printer;Place;Reference copy-ies;Inscriptions;Link;Analytic tags;Private notes
I-1538-MN-021E;1538 Monte Nuovo Eruption;Unknown;View of Monte Nuovo;1539;;Woodcut;;"I-1538-MN-021F / 1538 Monte Nuovo Eruption / View of Monte Nuovo (Same image as); I-1538-MN-05E7 / 1538 Monte Nuovo Eruption / View of Monte Nuovo (Same image as); P-1538-MN-0004 / 1538 Monte Nuovo Eruption / Dell'incendio di Pozzuolo (This document is included in)";Delli Falconi, Marcantonio;Unknown (Marquise of Padula);Dell'incendio di Pozzuolo;Sultzbach, Giovanni;Naples;Florence, Biblioteca Nazionale Centrale TARG. MISC.228.4;;https://books.google.es/books?id=GZWcQN8cZu0C&printsec=frontcover&hl=ca&source=gbs_ge_summary_r&cad=0;;
I-1538-MN-021F;1538 Monte Nuovo Eruption;Unknown;View of Monte Nuovo;1539;;Woodcut;;"I-1538-MN-021E / 1538 Monte Nuovo Eruption / View of Monte Nuovo (Same image as); I-1538-MN-05E7 / 1538 Monte Nuovo Eruption / View of Monte Nuovo (Same image as); P-1538-MN-0006 / 1538 Monte Nuovo Eruption / Ragionamento del terremoto del nuovo monte, del aprimento di terra in Pozuolo, nel anno 1538, e dela significatione d'essi, per Piero Giacomo da Toledo (This document is included in)";Toledo, Pietro Giacomo;Unknown;Ragionamento del terremoto del nuovo monte, del aprimento di terra in Pozuolo, nel anno 1538, e dela significatione d'essi, per Piero Giacomo da Toledo;Sultzbach, Giovanni;Naples;Los Angeles, Getty Research Institute SPECIAL COLLECTIONS QE533 .T6 1539;;https://archive.org/details/ragionamentodelt00tole;;
I-1538-MN-0220;1538 Monte Nuovo Eruption;Unknown;View of Monte Nuovo;1538;;Woodcut;;P-1538-MN-0003 / 1538 Monte Nuovo Eruption / Copia de una lettera di Napoli che contiene li stupendi, et gran prodigii apparsi sopra a Pozzolo (This document is included in);Marchesino, Francesco;Unknown;Copia de una lettera di Napoli che contiene li stupendi, et gran prodigii apparsi sopra a Pozzolo;Unknown;Unknown;"Paris, Bibliothèque Mazarine 4° 14771 A-34; Munich, Bayerische Staatsbibliothek Res/4 Phys.sp. 300,16";;https://opacplus.bsb-muenchen.de/title/BV001397171;;
I-1538-MN-0221;1538 Monte Nuovo Eruption;Monogramist G.A. [Maestro del Trabocchetto];View of Monte Nuovo;[1540];;Engraving;43 x 29 cm;;;;II vero disegnio in sul propio luogo ritratto dell'infelice paese di Posuolo quale, b, m, 60 e del monte di nuovo nato in mare e in terra con danno e morte di molti abitanti che lo vide, comincio a buttar fuoro pietre e cenere ali 29 de setembre 1538 e ancor seghuita con minacci horribili.;;Rome;"Paris, Bibliothèque Nationale de France GE DD-1140 (98RES); Paris, Bibliothèque Nationale de France GE DD-655 (103RES); Munich, Bayerische Staatsbibliothek Dillingen, Studienbibliothek, X 122#Nr.95";;"https://gallica.bnf.fr/ark:/12148/btv1b550002119; https://gallica.bnf.fr/ark:/12148/btv1b550050671/f1.item.r=vero%20disegnio; https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00107415-7";;
I-1538-MN-05E6;1538 Monte Nuovo Eruption;Unknown;Scene of hell;[1538];;Woodcut;;;;;;;;;;;;foto Umberto
I-1538-MN-05E7;1538 Monte Nuovo Eruption;Unknown;View of Monte Nuovo;[1538];;Woodcut;;"I-1538-MN-021E / 1538 Monte Nuovo Eruption / View of Monte Nuovo (Same image as); I-1538-MN-021F / 1538 Monte Nuovo Eruption / View of Monte Nuovo (Same image as)";;;;;;;;;;foto Umberto
I-1538-MN-065C;1538 Monte Nuovo Eruption;"Guttenberg, Heinrich  (Engraving); Fragonard, Jean-Honoré (Drawing)";The eruption of Monte Nuovo ;1781;;Engraving;;;Saint-Non, Jean-Claude Richard de;;Voyage pittoresque ou Description des royaumes de Naples et de Sicile (4 vols.);Delafosse, Jean-Baptiste;Paris;Paris, Bibliothèque Nationale de France Département Philosophie, histoire, sciences de l'homme, K-820;"Composé par Fragonard Peintre du Roi; Gravé par Ch. Guttemberg";https://gallica.bnf.fr/ark:/12148/bpt6k106180w;;
I-1538-MN-0687;1538 Monte Nuovo Eruption;Orlandi, Giovanni;View of the bay of Pozzuoli;1625;;Engraving;;;Unknown;;Breve e distinta relatione della antichissima città di Pozzuolo e suo distretto, nella quale si tratta de’ luochi conviccini, de’ tempii, ville, laghi, aquedotti, pile, bagni, moli, mufete, minere, monti, ed altre cose notabili e curiose;Beltrano, Ottavio;Naples;Rome, Bibliotheca Hertziana E-POZ 142-2250 raro IX;;https://galerie.biblhertz.it/2-4-orlandi-1625/;;
I-1538-MN-0688;1538 Monte Nuovo Eruption;Unknown;View of the bay of Pozzuoli;1670;;;;;Mormile, Giuseppe;;Descrittione della citta di Napoli, e del suo amenissimo distretto, e dell'antichita della citta di Pozzuolo;Paci, Giovan Francesco;Naples;University of Cologne, Archaeological Institute Platn. Hf 5;;https://arachne.uni-koeln.de/arachne/index.php?view%5blayout%5d=buchseite_item&search%5bconstraints%5d%5bbuchseite%5d%5bsearchSeriennummer%5d=594203;;
I-1538-MN-0689;1538 Monte Nuovo Eruption;Villamena, Francesco;View of the bay of Pozzuoli;1652;;;;;;;Ager Pvteolanvs sive prospectvs eivsdem insigniores;De Rossi, Giovan Giacomo ;Rome;Rome, Bibliotheca Hertziana E-POZ 142-2520 raro VII;;https://galerie.biblhertz.it/it/2-07-villamena-1652/;;
I-1538-MN-0690;1538 Monte Nuovo Eruption;Fer, Nicolas de ;View of the bay of Pozzuoli;1701-1705;;Engraving;290 x 425 mm;;Fer, Nicolas de ;;L'Atlas curieux ou le Monde réprésenté dans des cartes générales et particuliéres du ciel et de la terre divisé tant en ses quatre principales parties que par états et provinces et orné par des plans et descriptions des villes capitales et principales;;Paris;Paris, Bibliothèque Nationale de France GE DD-2987 (5585);Les Merveilles de Pozzoli ou Pouzzol Cume et Baia ou Bayes. Dans le Voisinage de Naples;"https://gallica.bnf.fr/ark:/12148/btv1b530426241?rk=21459;2";;
I-1541-GU-0222;1541 Guatemala Earthquake;Unknown;Coat of Arms of the Kingdom of Spain;[1541] reprinted in 1880;;Woodcut;;P-1541-GU-0007 / 1541 Guatemala Earthquake / Relación del espantable terremoto que agora nuevamente ha acontecido en las yndias en una ciudad llamada Guatimala (This document is included in);Rodríguez, Juan;;Relación del espantable terremoto que agora nuevamente ha acontecido en las yndias en una ciudad llamada Guatimala;Unknown;Unknown;Madrid, Biblioteca Nacional de España R/13784;;http://bdh-rd.bne.es/viewer.vm?id=0000249924&page=1;;
