Record;Event;Archive;Author/sender;Recipient;Date of writing;Start point;Date of receipt;End point;Summary;Language;Related images or documents;Other Events;Link;Analytic tags;Private notes
_M-1638-CA-06F2_;_1638 Calabria Earthquake_;_Rome, Archivum Romanum Societatis Jesu_;_Unknown_;_Unknown_;_1638-05-16_;_Reggio Calabria_;__;_Rome_;__;__;__;__;__;__;__
_M-1456-CSI-0678_;_1456 Central and Southern Italy Earthquake_;_Naples, Biblioteca Nazionale Vittorio Emanuele III, MS-XII-G-60_;_Nigrone, Giovanni Antonio_;__;_ca. 1600_;_Naples_;__;__;_In the 2nd vol. of his handwritten book titled 'Varii Discorsi', the fountaineer G.A. Nigrone mentions a series of disasters that struck Naples and Southern Italy in the previous centuries, including the 1456 Central and Southern Italy Earthquake. Of this event, the author describes some (supposed) effects in the urban area of Naples and the water sources in the territory of the city_;_Italian_;__;__;__;_INTERPRETAZIONE→Osservazioni empiriche_;__
_M-1538-MN-036F_;_1538 Monte Nuovo Eruption_;_Archivo General de Simancas, Estado, 1028, f.79_;_Toledo, Pedro de_;_Charles V_;_1538-10-10_;_Naples_;__;_Imperial court_;_A large letter on the conditions of Naples, with reference to the eruption, that is compared with Etna's ones; the author mentions Simone Porzio's task_;_Spanish_;_M-1538-MN-0370 / 1538 Monte Nuovo Eruption / Summary of news from Naples (This document is summarized in)_;__;__;__;__
_M-1538-MN-0370_;_1538 Monte Nuovo Eruption_;_Archivo General de Simancas, Estado, 1028, f. 73_;_Imperial secretaries_;_Charles V_;__;_Imperial court_;__;__;_Summary of news from Naples_;_Spanish_;_M-1538-MN-036F / 1538 Monte Nuovo Eruption / A large letter on the conditions of&nbsp;Naples, with reference to the eruption, that is compared with Etna's ones; the author mentions Simone Porzio's task (This document summarizes)_;__;__;__;__
_M-1538-MN-0371_;_1538 Monte Nuovo Eruption_;_Archivo General de Simancas, Estado, 1028, f. 85_;_Toledo, Pedro de_;_Charles V_;_1538-10-20_;_Naples_;__;_Imperial court_;_A large letter on Naples state, reference to an exceptional star and Porzio's work_;_Spanish_;_M-1538-MN-0372 / 1538 Monte Nuovo Eruption / News from Levant (via Naples) on a strange star_;__;__;__;_The news about the star is from Ragusa, Dubrovnik_
_M-1538-MN-0372_;_1538 Monte Nuovo Eruption_;_Archivo General de Simancas, Estado, 1028, f. 84_;_Neapolitan secretaries_;_Charles V_;_1538-10_;_Naples_;__;_Imperial court_;_News from Levant (via Naples) on a strange star_;_Spanish_;_M-1538-MN-0371 / 1538 Monte Nuovo Eruption / A large letter on Naples state, reference to an exceptional star and Porzio's work;M-1538-MN-0373 / 1538 Monte Nuovo Eruption / A large letter on Naples state, reference to a strange star and to Porzio's work_;__;__;__;__
_M-1538-MN-0373_;_1538 Monte Nuovo Eruption_;_Archivo General de Simancas, Estado, 1028, f. 95_;_Toledo, Pedro de_;_Charles V_;_1538-10-20_;_Naples_;__;_Imperial court_;_A large letter on Naples state, reference to a strange star and to Porzio's work_;_Spanish_;_M-1538-MN-0372 / 1538 Monte Nuovo Eruption / News from Levant (via Naples) on a strange star;M-1538-MN-0374 / 1538 Monte Nuovo Eruption / A cultivated dissertation on Monte Nuovo Eruption_;__;__;__;__
_M-1538-MN-0374_;_1538 Monte Nuovo Eruption_;_Archivo General de Simancas, Patronato Real, 42, d. 7_;_Porzio, Simone_;_Toledo, Pedro de_;_1538_;_Naples_;__;__;_A cultivated dissertation on Monte Nuovo Eruption_;_Italian_;_M-1538-MN-0373 / 1538 Monte Nuovo Eruption / A large letter on Naples state, reference to a strange star and to Porzio's work_;__;__;__;__
_M-1538-MN-0375_;_1538 Monte Nuovo Eruption_;_Archivio di Stato di Napoli, Cancelleria e Consiglio, Collaterale, Cancelleria, Curiae, busta 9, f. 147r_;_Consiglio Collaterale_;__;_1538-08-14_;_Naples_;__;__;_Meeting notes of the Collaterale Council on Pozzuoli's tax exemption before the eruption_;_Italian_;__;__;__;__;__
_M-1538-MN-0677_;_1538 Monte Nuovo Eruption_;_Naples, Biblioteca Nazionale Vittorio Emanuele III, MS-12-G-60, fol. 493_;_Nigrone, Giovanni Antonio_;__;_ca. 1600_;_Naples_;__;__;_In the 2nd vol. of his handwritten book titled 'Varii Discorsi', the fountaineer G.A. Nigrone mentions a series of disasters that struck Naples and Southern Italy in the previous centuries, including the eruption of Monte Nuovo in 1538. He states that he derived the information on this event from his father's accounts, yet his description is very similar to that published in 1539 by M.A Delli Falconi. The author challenges the idea that such events are a prelude to other disasters, but may be followed by disasters 'naturally' connected to them, such as drought and famine_;_Italian_;_P-1538-MN-0004 / 1538 Monte Nuovo Eruption / Dell'incendio di Pozzuolo (This document summarizes)_;__;__;_INTERPRETAZIONE→Aristotelismo/tomismo_;__
