Record;Event;Archive;Author/sender;Recipient;Date of writing;Start point;Date of receipt;End point;Summary;Language;Related images or documents;Other Events;Link;Analytic tags;Private notes;;;;;;
M-1638-CA-06F2;1638 Calabria Earthquake;Rome, Archivum Romanum Societatis Jesu;Unknown;Unknown;1638-05-16;Reggio Calabria;;Rome;;;;;;;;;;;;;
M-1456-CSI-0678;1456 Central and Southern Italy Earthquake;Naples, Biblioteca Nazionale Vittorio Emanuele III, MS-XII-G-60;Nigrone, Giovanni Antonio;;ca. 1600;Naples;;;In the 2nd vol. of his handwritten book titled Varii Discorsi', the fountaineer G.A. Nigrone mentions a series of disasters that struck Naples and Southern Italy in the previous centuries, including the 1456 Central and Southern Italy Earthquake. Of this event, the author describes some (supposed) effects in the urban area of Naples and the water sources in the territory of the city';Italian;;;;INTERPRETAZIONE→Osservazioni empiriche;;;;;;;
M-1538-MN-036F;1538 Monte Nuovo Eruption;Archivo General de Simancas, Estado, 1028, f.79;Toledo, Pedro de;Charles V;1538-10-10;Naples;;Imperial court;"A large letter on the conditions of Naples, with reference to the eruption, that is compared with Etna's ones; the author mentions Simone Porzio's task";Spanish;M-1538-MN-0370 / 1538 Monte Nuovo Eruption / Summary of news from Naples (This document is summarized in);;;;;;;;;;
M-1538-MN-0370;1538 Monte Nuovo Eruption;Archivo General de Simancas, Estado, 1028, f. 73;Imperial secretaries;Charles V;;Imperial court;;;Summary of news from Naples;Spanish;"M-1538-MN-036F / 1538 Monte Nuovo Eruption / A large letter on the conditions of&nbsp;Naples, with reference to the eruption, that is compared with Etna's ones; the author mentions Simone Porzio's task (This document summarizes)";;;;;;;;;;
M-1538-MN-0371;1538 Monte Nuovo Eruption;Archivo General de Simancas, Estado, 1028, f. 85;Toledo, Pedro de;Charles V;1538-10-20;Naples;;Imperial court;A large letter on Naples state, reference to an exceptional star and Porzio's work;Spanish;M-1538-MN-0372 / 1538 Monte Nuovo Eruption / News from Levant (via Naples) on a strange star;;;;The news about the star is from Ragusa, Dubrovnik;;;;;;
M-1538-MN-0372;1538 Monte Nuovo Eruption;Archivo General de Simancas, Estado, 1028, f. 84;Neapolitan secretaries;Charles V;1538-10;Naples;;Imperial court;News from Levant (via Naples) on a strange star;Spanish;"M-1538-MN-0371 / 1538 Monte Nuovo Eruption / A large letter on Naples state, reference to an exceptional star and Porzio's work;M-1538-MN-0373 / 1538 Monte Nuovo Eruption / A large letter on Naples state, reference to a strange star and to Porzio's work";;;;;;;;;;
M-1538-MN-0373;1538 Monte Nuovo Eruption;Archivo General de Simancas, Estado, 1028, f. 95;Toledo, Pedro de;Charles V;1538-10-20;Naples;;Imperial court;A large letter on Naples state, reference to a strange star and to Porzio's work;Spanish;"M-1538-MN-0372 / 1538 Monte Nuovo Eruption / News from Levant (via Naples) on a strange star;M-1538-MN-0374 / 1538 Monte Nuovo Eruption / A cultivated dissertation on Monte Nuovo Eruption";;;;;;;;;;
M-1538-MN-0374;1538 Monte Nuovo Eruption;Archivo General de Simancas, Patronato Real, 42, d. 7;Porzio, Simone;Toledo, Pedro de;1538;Naples;;;A cultivated dissertation on Monte Nuovo Eruption;Italian;M-1538-MN-0373 / 1538 Monte Nuovo Eruption / A large letter on Naples state, reference to a strange star and to Porzio's work;;;;;;;;;;
M-1538-MN-0375;1538 Monte Nuovo Eruption;Archivio di Stato di Napoli, Cancelleria e Consiglio, Collaterale, Cancelleria, Curiae, busta 9, f. 147r;Consiglio Collaterale;;1538-08-14;Naples;;;Meeting notes of the Collaterale Council on Pozzuoli's tax exemption before the eruption;Italian;;;;;;;;;;;
M-1538-MN-0677;1538 Monte Nuovo Eruption;Naples, Biblioteca Nazionale Vittorio Emanuele III, MS-12-G-60, fol. 493;Nigrone, Giovanni Antonio;;ca. 1600;Naples;;;In the 2nd vol. of his handwritten book titled Varii Discorsi', the fountaineer G.A. Nigrone mentions a series of disasters that struck Naples and Southern Italy in the previous centuries, including the eruption of Monte Nuovo in 1538. He states that he derived the information on this event from his father's accounts, yet his description is very similar to that published in 1539 by M.A Delli Falconi. The author challenges the idea that such events are a prelude to other disasters, but may be followed by disasters 'naturally' connected to them, such as drought and famine';Italian;P-1538-MN-0004 / 1538 Monte Nuovo Eruption / Dell'incendio di Pozzuolo (This document summarizes);;;INTERPRETAZIONE→Aristotelismo/tomismo;;;;;;;
