Record;Event;Author;Recipient/dedicatee information;Recipient/dedicatee;Title;Printer;Printer information;Place;Summary;Other places quoted by the printer;Year;Language;Form (prose/verses/mixed);Identifier in USTC;Reference copy-ies;Digitised copy link;Related images and documents;Additional notes;Analaytic tags;Private notes;;;;
P-1514-VA-0001;1514 Valencia Earthquake;Calvo, Pedro;;Unknown;Obra sobre el temor de Valencia;Unknown;Unknown;Unknown;;;[1514];Spanish;Unknown;347315;Seville, Biblioteca Capitular y Colombina ;;;;;;;;;
P-1531-LI-0002;1531 Lisbon Earthquake;Unknown;;Unknown;Traslado de una carta que de Portugal embiaron al muy illustre señor el Marqués de Tarifa, en que le hacen relación del muy espantoso y extraño terremoto, y temerosas señales de gran admiración: que fue y se vieron en la mar, y en la tierra jueves a veynte y seys de enero deste año de treynta y uno;Unknown;Unknown;Unknown;;;1531;Spanish;Prose;339063;Madrid, Biblioteca Nacional de España V/104-28;;;Narra anche di un diluvio avvenuto a Roma nello stesso anno;;Foto Schiano;;;;
P-1538-MN-0003;1538 Monte Nuovo Eruption;Marchesino, Francesco;;Unknown;Copia de una lettera di Napoli che contiene li stupendi, et gran prodigii apparsi sopra a Pozzolo;Unknown;Unknown;Unknown;;;1638;Italian;Prose;802830;"Paris, Bibliothèque Mazarine 4° 14771 A-34;Munich, Bayerische Staatsbibliothek Res/4 Phys.sp. 300,16";https://opacplus.bsb-muenchen.de/title/BV001397171;I-1538-MN-0220 / 1538 Monte Nuovo Eruption / View of Monte Nuovo (This document includes);;;nel mio database ho questo esemplare digitalizzato [Di Napoli, Alli. V. d'Ottobre. M.D.XXXVIII.] : https://opacplus.bsb-muenchen.de/title/BV001397171 (Milena);;;;
P-1538-MN-0004;1538 Monte Nuovo Eruption;Delli Falconi, Marcantonio;All'illustrissima signora marchesa della Padula;Unknown;Dell'incendio di Pozzuolo;Sultzbach, Giovanni;[Napoli, Giovanni Sultzbach, 1539] (Si venne per Marco Antonio Passaro alli Ferri vecchi);Naples;;;1539;Italian;Prose;828671;Florence, Biblioteca Nazionale Centrale TARG. MISC.228.4;https://books.google.es/books?id=GZWcQN8cZu0C&printsec=frontcover&hl=ca&source=gbs_ge_summary_r&cad=0;"I-1538-MN-021E / 1538 Monte Nuovo Eruption / View of Monte Nuovo (This document includes);M-1538-MN-0677 / 1538 Monte Nuovo Eruption / In the 2nd vol. of&nbsp;his handwritten book&nbsp;titled Varii Discorsi', the fountaineer G.A. Nigrone&nbsp";mentions a series of disasters that struck Naples and Southern Italy in the previous centuries, including the eruption of Monte Nuovo in 1538. He states that he derived the information&nbsp;on this event&nbsp;from his father's accounts, yet his description is very similar to that published in 1539 by M.A Delli Falconi.&nbsp;The author challenges the idea that such events are a prelude to other disasters, but may be followed by disasters 'naturally' connected to them, such as drought and famine (This document is summarized in)';;;
P-1538-MN-0005;1538 Monte Nuovo Eruption;Unknown;;Unknown;I gran segni et terremoti tratti appresso alla città di Napoli a un luoco chiamato Puzolo la vigilia di san Michele, con piovere di solfore, et folgorar de troni, e aperture di montagne, e grandissime fiamme di fuoco, et seccatosi più di tre miglia di mare, et altre cose horribile per sette, o otto giorni continui apparse, et ancora seguitano;Unknown;Unknown;Unknown;;;;Italian;Prose;800721;Paris, Bibliothèque Mazarine 4° 14771 A-33;;;;;;;;;
P-1538-MN-0006;1538 Monte Nuovo Eruption;Toledo, Pietro Giacomo;Alli studiosi dela volgar lingua;Unknown;Ragionamento del terremoto del nuovo monte, del aprimento di terra in Pozuolo, nel anno 1538, e dela significatione d'essi, per Piero Giacomo da Toledo;Sultzbach, Giovanni;Stampata in Nap. per Giouanni Sulztbah alemano à 22 de Genaro 1539 con gratia, e, priuilegio.;Naples;;;1539-1-22;Italian;Prose;859264;Los Angeles, Getty Research Institute SPECIAL COLLECTIONS QE533 .T6 1539;https://archive.org/details/ragionamentodelt00tole;I-1538-MN-021F / 1538 Monte Nuovo Eruption / View of Monte Nuovo (This document includes);;;;;;;
P-1538-MN-051A;1538 Monte Nuovo Eruption;Geronimo Borgia;AD PAVLUM III PONTEFICEMOptimi Maximi Hieronymi Borgii Conflagratio Averni Horrenda;Alessandro Farnese;Incendium ad Avernvm Lacvm Horribile Pridie Cal. Octob. M.D. XXXVIII. Nocte In tempesta Exortum;"Unknown; Unknown";Unknown;Naples;;;1538;Latin;Verse;;Paris, Muséum national d'Histoire naturelle ;;;;FORME PARTICOLARI DI RAPPRESENTAZIONE/NARRAZIONE→Narrazione in prima persona, dialoghi;trascritta la carta 8 recto;;;;
P-1538-MN-0686;1538 Monte Nuovo Eruption;[Sanfelice, Antonio];Antonius Sanctofelicius Tiberio Buchae S.P.D.;[Di Buca, Tiberio];Clio divina;Sultzbach, Giovanni;Ex officina Ioannis Sulbachii Germani;Naples;Ode sull'eruzione di Baia del 1538;;1541;Latin;Verse;854497;Naples, Biblioteca Nazionale Vittorio Emanuele III SISMICA 06.F. 009;https://play.google.com/books/reader?id=KIINOSR-PN0C&pg=GBS.PT1&hl=it;;;INTERPRETAZIONE→Segni premonitori;inserimento di prova per Giancarlo Riccio (non eliminare: è fatto bene);;;;
P-1541-GU-0007;1541 Guatemala Earthquake;Rodríguez, Juan;;;Relación del espantable terremoto que agora nuevamente ha acontecido en las yndias en una ciudad llamada Guatimala;Unknown;Unknown;Unknown;;;[1541] reprinted 1880;Spanish;Prose;349565;Madrid, Biblioteca Nacional de España R/13784;http://bdh-rd.bne.es/viewer.vm?id=0000249924&page=1;I-1541-GU-0222 / 1541 Guatemala Earthquake / Coat of Arms of the Kingdom of Spain (This document includes);;;;;;;
P-1541-GU-0008;1541 Guatemala Earthquake;Unknown;;;Relación cierta y verdadera sacada y trasladada de una carta que a esta ciudad de Sevilla fue embiada sobre la terrible y tempestuosa tormenta que sucedió en la cibdad de Guatimala sábado dos oras después de anochecido a diez días del mes de setiembre del año passado de mil y quinientos y quarenta y uno;Unknown;Unknown;[Seville];;;1542;Spanish;Prose;344840;Los Angeles, UCLA Library SRLF F1476.G92 R45 1543a;https://ucla.on.worldcat.org/oclc/21027285;I-1541-GU-0223 / 1541 Guatemala Earthquake / City View from the Sea with a Pilgrim (This document includes);;;;;;;
