Record;Event;Artist;Description;Date;Museum/Institution;Medium and support;Dimensions;Related images or documents;Author;Recipient/dedicatee;Title;Printer;Place;Reference copy-ies;Inscriptions;Link;Analytic tags;Private notes;
I-1538-MN-021E;1538 Monte Nuovo Eruption;Unknown;View of Monte Nuovo;1539;;Woodcut;;"I-1538-MN-021F / 1538 Monte Nuovo Eruption / View of Monte Nuovo (Same image as); I-1538-MN-05E7 / 1538 Monte Nuovo Eruption / View of Monte Nuovo (Same image as); P-1538-MN-0004 / 1538 Monte Nuovo Eruption / Dell'incendio di Pozzuolo (This document is included in)";Falconi, Marcantonio;Unknown (Marquise of Padula);Dell'incendio di Pozzuolo;Sultzbach, Giovanni;Naples;"Florence, Biblioteca Nazionale Centrale TARG. MISC.228.4; Naples, Biblioteca della Società Napoletana di Storia Patria SISMICA 07.E. 038";;https://books.google.es/books?id=GZWcQN8cZu0C&printsec=frontcover&hl=ca&source=gbs_ge_summary_r&cad=0;;;
I-1538-MN-021F;1538 Monte Nuovo Eruption;Unknown;View of Monte Nuovo;1539;;Woodcut;;"I-1538-MN-021E / 1538 Monte Nuovo Eruption / View of Monte Nuovo (Same image as); I-1538-MN-05E7 / 1538 Monte Nuovo Eruption / View of Monte Nuovo (Same image as); P-1538-MN-0006 / 1538 Monte Nuovo Eruption / Ragionamento del terremoto del nuovo monte, del aprimento di terra in Pozuolo, nel anno 1538, e dela significatione d'essi, per Piero Giacomo da Toledo (This document is included in)";"Toledo, Pietro Giacomo; Pino, Giovanni Battista (Author of the preface Alli studiosi della volgar lingua)";Toledo, Pedro Álvarez y Zúñiga (Viceroy of Naples);Ragionamento del terremoto del nuovo monte, del aprimento di terra in Pozuolo, nel anno 1538, e dela significatione d'essi, per Piero Giacomo da Toledo;Sultzbach, Giovanni;Naples;"Los Angeles, Getty Research Institute SPECIAL COLLECTIONS QE533 .T6 1539; London, University College London STRONG ROOM JOHNSTON LAVIS 1539 T6; Lucca, Biblioteca Statale B.ta 952.12; Pisa, Biblioteca Universitaria C r. 1. 2. 1; Naples, Biblioteca della Società Napoletana di Storia Patria SISMICA 07.E. 026 (1";;https://archive.org/details/ragionamentodelt00tole;;;
I-1538-MN-0220;1538 Monte Nuovo Eruption;Unknown;View of Monte Nuovo;1538;;Woodcut;;P-1538-MN-0003 / 1538 Monte Nuovo Eruption / Copia de una lettera di Napoli che contiene li stupendi, et gran prodigii apparsi sopra a Pozzolo (This document is included in);Marchesino, Francesco;Unknown;Copia de una lettera di Napoli che contiene li stupendi, et gran prodigii apparsi sopra a Pozzolo;Borgo, Giovanni Antonio;Milan;"Paris, Bibliothèque Mazarine 4° 14771 A-34; Munich, Bayerische Staatsbibliothek Res/4 Phys.sp. 300,16";;https://opacplus.bsb-muenchen.de/title/BV001397171;;;
I-1538-MN-0221;1538 Monte Nuovo Eruption;Monogramist G.A. Maestro del Trabocchetto;View of Monte Nuovo;1540;;Engraving;43 x 29 cm;;;;II vero disegnio in sul propio luogo ritratto dell'infelice paese di Posuolo quale, b, m, 60 e del monte di nuovo nato in mare e in terra con danno e morte di molti abitanti che lo vide, comincio a buttar fuoro pietre e cenere ali 29 de setembre 1538 e ancor seghuita con minacci horribili.;;Rome;"Paris, Bibliothèque Nationale de France GE DD-1140 (98RES); Paris, Bibliothèque Nationale de France GE DD-655 (103RES); Munich, Bayerische Staatsbibliothek Dillingen, Studienbibliothek, X 122#Nr.95";;"https://gallica.bnf.fr/ark:/12148/btv1b550002119; https://gallica.bnf.fr/ark:/12148/btv1b550050671/f1.item.r=vero%20disegnio; https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00107415-7";;;
I-1538-MN-05E6;1538 Monte Nuovo Eruption;Unknown;Scene of hell;1538;;Woodcut;;"P-1538-MN-0983 / 1538 Monte Nuovo Eruption / De conflagratione Puteolani Agri Causae &amp; significationes Simonum Portium (This document is included in)";Porzio, Simone;Toledo, Pedro Álvarez y Zúñiga (Viceroy of Naples);"De conflagratione Puteolani Agri Causae &amp; significationes Simonum Portium";Sultzbach, Giovanni;Naples;Naples, Biblioteca della Società Napoletana di Storia Patria SISMICA 07.E. 049;;;;foto Umberto;
I-1538-MN-05E7;1538 Monte Nuovo Eruption;Unknown;View of Monte Nuovo;1538;;Woodcut;;"I-1538-MN-021E / 1538 Monte Nuovo Eruption / View of Monte Nuovo (Same image as); I-1538-MN-021F / 1538 Monte Nuovo Eruption / View of Monte Nuovo (Same image as); P-1538-MN-0973 / 1538 Monte Nuovo Eruption / De conflagratione Agri Puteolani, Simonis portii (This document is included in)";Porzio, Simone;Toledo, Pedro Álvarez y Zúñiga (Viceroy of Naples);De conflagratione Agri Puteolani, Simonis portii;Sultzbach, Giovanni;Naples;Naples, Biblioteca della Società Napoletana di Storia Patria SISMICA 07.E. 031;;;;foto Umberto;
I-1538-MN-065C;1538 Monte Nuovo Eruption;"Guttenberg, Heinrich  (engraving); Fragonard, Jean-Honoré (drawing)";The eruption of Monte Nuovo ;1781;;Engraving;;;Saint-Non, Jean-Claude Richard de;;Voyage pittoresque ou Description des royaumes de Naples et de Sicile (4 vols.);Delafosse, Jean-Baptiste;Paris;Paris, Bibliothèque Nationale de France Département Philosophie, histoire, sciences de l'homme, K-820;"Composé par Fragonard Peintre du Roi; Gravé par Ch. Guttemberg";https://gallica.bnf.fr/ark:/12148/bpt6k106180w;;;
I-1538-MN-0687;1538 Monte Nuovo Eruption;Orlandi, Giovanni;View of the bay of Pozzuoli;1625;;Engraving;;;Unknown;;Breve e distinta relatione della antichissima città di Pozzuolo e suo distretto, nella quale si tratta de’ luochi conviccini, de’ tempii, ville, laghi, aquedotti, pile, bagni, moli, mufete, minere, monti, ed altre cose notabili e curiose;Beltrano, Ottavio;Naples;Rome, Bibliotheca Hertziana E-POZ 142-2250 raro IX;;https://galerie.biblhertz.it/2-4-orlandi-1625/;;;
I-1538-MN-0688;1538 Monte Nuovo Eruption;Unknown;View of the bay of Pozzuoli;1670;;;;;Mormile, Giuseppe;;Descrittione della citta di Napoli, e del suo amenissimo distretto, e dell'antichita della citta di Pozzuolo;Paci, Giovan Francesco;Naples;University of Cologne, Archaeological Institute Platn. Hf 5;;https://arachne.uni-koeln.de/arachne/index.php?view%5blayout%5d=buchseite_item&search%5bconstraints%5d%5bbuchseite%5d%5bsearchSeriennummer%5d=594203;;;
I-1538-MN-0689;1538 Monte Nuovo Eruption;"Villamena, Francesco (after Mario Cartaro); Cartaro, Mario";View of the bay of Pozzuoli ;1652;;;;;;;Ager Pvteolanvs sive prospectvs eivsdem insigniores;De Rossi, Giovan Giacomo ;Rome;Rome, Bibliotheca Hertziana E-POZ 142-2520 raro VII;;https://galerie.biblhertz.it/it/2-07-villamena-1652/;;;
