Record;Event;Archive;Author/sender;Recipient;Date of writing;Start point;Date of receipt;End point;Summary;Language;Related images or documents;Other Events;Link;Analytic tags;Private notes
M-1646-GA-03D7;1646 Gargano Earthquake;Naples, Archivio di Stato di Napoli, Regia Camera della Sommaria, Segreteria, Consultationum, vol. 48, ff. 95r-96v;Regia Camera della Sommaria;Ponce de León, Rodrigo (Viceroy of Naples, Duke of Arcos);1646;Naples;;;Report of Councillor Annibale Moles, special commissioner, on the damage caused in Canosa by the Earthquake of 31 May 1646.;Italian;M-1646-GA-0773 / 1646 Gargano Earthquake / Report of Councillor Annibale Moles on the damage caused in Canosa by the Earthquake of 31 May 1646. (This document includes);;;RISPOSTE ISTITUZIONALI→Inchiesta sugli effetti del disastro;Information by Annibale Moles, special commissioner
M-1646-GA-076D;1646 Gargano Earthquake;Bari, Biblioteca Nazionale Sagarriga Visconti-Volpi, Manoscritti, I/67, Memorie dei Cardassi, sec. XVII;Cardassi, Scipione (Notary);;1646;Bari;;;Census of damage and victims caused by the Earthquake of 31 May 1646 in the Gargano area.;Italian;;;;FORME PARTICOLARI DI RAPPRESENTAZIONE/NARRAZIONE→Enumerazione dei danni e delle vittime;
M-1646-GA-076E;1646 Gargano Earthquake;Florence, Archivio di Stato di Firenze, Manoscritti, 125-147;Settimanni, Francesco;;1646;Florence;;;News arrived that a strong Earthquake tremor was felt in Naples at the end of May, which lasted about one minute. The tremor caused only panic and no damage.;Italian;;;;;
M-1646-GA-076F;1646 Gargano Earthquake;Foggia, Archivio di Stato di Foggia, Dogana delle pecore, serie V, fascio 41, fasc.4399;Bianchi, Carlantonio (Engineer);Suarez, Manuel (President of the Sheep Customs Office );1674;Barletta;;;Engineer Carlantonio Bianchi's report to the President of the Dogana delle Pecore on the repair of the Capitanata coastal towers damaged by the Earthquakes.;Italian;;;;RISPOSTE ISTITUZIONALI→Inchiesta sugli effetti del disastro;
M-1646-GA-0771;1646 Gargano Earthquake;Naples, Archivio di Stato di Napoli, Regia Camera della Sommaria, Segreteria, Consultationum, vol. 48, ff. 14r-15v;Regia Camera della Sommaria;Ponce de León, Rodrigo (Viceroy of Naples, Duke of Arcos);1646;Naples;;;Consultation on the granting of tax exemption and other obligations to the Università of Canosa after the Earthquake of 31 May 1646 that caused the depopulation of the area.;Italian;M-1646-GA-0772 / 1646 Gargano Earthquake / The area of Leporano is devoid of inhabitants, absent due to a storm of water, wind and thunder that damaged the houses, walls and castle on 19 January 1646. (This document includes);;;RISPOSTE ISTITUZIONALI→Sgravi fiscali;
M-1646-GA-0772;1646 Gargano Earthquake;Naples, Archivio di Stato di Napoli, Regia Camera della Sommaria, Segreteria, Consultationum, vol. 48, ff. 14v-15r;Mendoza, Gonzalo de (Governor of Terra d'Otranto);Regia Camera della Sommaria;1646;Taranto;;Naples;The area of Leporano is devoid of inhabitants, absent due to a storm of water, wind and thunder that damaged the houses, walls and castle on 19 January 1646.;Italian;M-1646-GA-0771 / 1646 Gargano Earthquake / Consultation on the granting of tax exemption and other obligations to the Università of Canosa after the Earthquake of 31 May 1646 that caused the depopulation of the area. (This document is included in);;;RISPOSTE ISTITUZIONALI→Inchiesta sugli effetti del disastro;
M-1646-GA-0773;1646 Gargano Earthquake;Naples, Archivio di Stato di Napoli, Regia Camera della Sommaria, Segreteria, Consultationum, vol. 48, ff. 95r-v;Moles, Annibale (Councilor of the Sacro Regio Consiglio);Regia Camera della Sommaria;1646;Foggia;;Naples;Report of Councillor Annibale Moles on the damage caused in Canosa by the Earthquake of 31 May 1646.;Italian;M-1646-GA-03D7 / 1646 Gargano Earthquake / Report of Councillor Annibale Moles, special commissioner, on the damage caused in Canosa by the Earthquake of 31 May 1646. (This document is included in);;;RISPOSTE ISTITUZIONALI→Inchiesta sugli effetti del disastro;
M-1646-GA-077E;1646 Gargano Earthquake;Naples, Archivio di Stato di Napoli, Regia Camera della Sommaria, Segreteria, Consultationum, vol. 48, ff. 184r-v;Mendoza, Gonzalo de (Governor of Terra d'Otranto);Regia Camera della Sommaria;1647;Barletta;;Naples;Report of the Governor of Terra d'Otranto based on engineer Felice de Riso's assessment of the damage suffered by the walls of Barletta following last year's disasters. Since the income of the Università was less than the expenses, mere tax exemption would not have allowed for the repair of the walls. The strategic importance of the square in countering corsair raids prompted the governor to advise the Sommaria to take appropriate measures.;Italian;M-1646-GA-0780 / 1646 Gargano Earthquake / Advice on the cost of repairing the walls of Barletta damaged by the tsunami and Earthquake of 1646. Although it was considered an expense to be managed locally, the urgency of the corsair threat was such that they agreed to draw on the funds of the royal court for the repairs. (This document is included in);;;RISPOSTE ISTITUZIONALI→Inchiesta sugli effetti del disastro;
M-1646-GA-0780;1646 Gargano Earthquake;Naples, Archivio di Stato di Napoli, Regia Camera della Sommaria, Segreteria, Consultationum, vol. 48, ff. 184r-185v;Regia Camera della Sommaria;Ponce de León, Rodrigo (Viceroy of Naples, Duke of Arcos);1647;Naples;;;Advice on the cost of repairing the walls of Barletta damaged by the tsunami and Earthquake of 1646. Although it was considered an expense to be managed locally, the urgency of the corsair threat was such that they agreed to draw on the funds of the royal court for the repairs.;Spanish;"M-1646-GA-077E / 1646 Gargano Earthquake / Report of the Governor of Terra d'Otranto based on engineer Felice de Riso's assessment of the damage suffered by the walls of Barletta following last year's disasters. Since the income of the Università was less than the expenses, mere tax exemption would not have allowed for the repair of the walls. The strategic importance of the square in countering corsair raids prompted the governor to advise the Sommaria to take appropriate measures. (This document includes); M-1646-GA-07A6 / 1646 Gargano Earthquake / Order of execution of the Sommaria's decision about the restoration of Barletta's walls. (This document is mentioned in)";;;RISPOSTE ISTITUZIONALI→Sgravi fiscali;
M-1646-GA-07A6;1646 Gargano Earthquake;Naples, Archivio di Stato di Napoli, Consiglio Collaterale, Cancelleria, Consultarum, vol. 3, ff. 56r-58v;Consiglio Collaterale;;1647;Naples;;;Order of execution of the Sommaria's decision about the restoration of Barletta's walls.;Italian;M-1646-GA-0780 / 1646 Gargano Earthquake / Advice on the cost of repairing the walls of Barletta damaged by the tsunami and Earthquake of 1646. Although it was considered an expense to be managed locally, the urgency of the corsair threat was such that they agreed to draw on the funds of the royal court for the repairs. (This document mentions);;;RISPOSTE ISTITUZIONALI→Pianificazione urbana e architettonica;
