Record;Event;Author;Recipient/dedicatee information;Recipient/dedicatee;Title;Printer;Printer information;Place;Summary;Other places quoted by the printer;Year;Language;Form (prose/verses/mixed);Identifier in USTC;Reference copy-ies;Digitised copy link;Related images and documents;Additional notes;Analaytic tags;Private notes
P-1514-VA-0001;1514 Valencia Earthquake;Calvo, Pedro;;;Obra sobre el temor de Valencia;;;;;;1514;Spanish;;347315;Seville, Biblioteca Capitular y Colombina ;;;;;
P-1531-LI-0002;1531 Lisbon Earthquake;;;;Traslado de una carta que de Portugal embiaron al muy illustre señor el Marqués de Tarifa, en que le hacen relación del muy espantoso y extraño terremoto, y temerosas señales de gran admiración: que fue y se vieron en la mar, y en la tierra jueves a veynte y seys de enero deste año de treynta y uno;;;;;;1531;Spanish;Prose;339063;Madrid, Biblioteca Nacional de España V/104-28;;;Narra anche di un diluvio avvenuto a Roma nello stesso anno;;Foto Schiano
P-1531-LI-07D5;1531 Lisbon Earthquake;;Al multo illustriss. s. Marchese de Tarifa;Alcala, Pedro Afan De Ribera (Generically called Marquis of Tarifa in the frontispiece);Transonto d'una lettera che da Portugallo fu mandata al molto illustriss. s. marchese de Tarifa in la quale li fanno relatione del multo spaventoso e stranio terremoto et timorosi signali de gran admiratione che foro et se videro in Portugallo in mare e in terra. iovidi a XXVI de gennaro MDXXXI;;;;;;1531;Italian;Prose;;Parma, Biblioteca Palatina CNCE063502;https://opac.sbn.it/web/edit-16/resultset-titoli/-/titoli/detail/CNCE063502#detail-collapse-CNCE063502-0;;;;Riferimento per l'identificazione del Marchese de Tarifa: https://www.treccani.it/enciclopedia/pedro-afan-de-ribera-duca-di-alcala_%28Dizionario-Biografico%29...
P-1531-LI-0A9D;1531 Lisbon Earthquake;Borghigiani, Benedetto Maria;a Maria Vergine Madre di Dio;Virgin Mary;Intera / narrazione della Vita, Costumi, e Intelligenze Spirituali della Venerabile / Sposa di Gesù Suor Domenica dal Paradiso fondatrice del Monastero della Croce / di Firenze;Nestenus, Michele;Nella / Stamperia di Michele Nestenus all’Insegna del Nome di Gesù;Florence;In Lisbon, the damage from the 1531 earthquake also made us forget the danger of the plague.;;1719;Italian;Prose;;Florence, Biblioteca Nazionale Centrale MAGL. 2.4.19;https://books.googleusercontent.com/books/content?req=AKW5QaeHrkkSheo1idueFapDD-amkiLP0wsjR_2OlAFaYT7IjE7h8mp128KhVHk892Zemqkyac1Ht3NY0ek10NjD5spc1xdRs7gOJAJEfuDX_nBLEwIyJiANsjyAhgwa7xEGo7tL7GFmTk1xQFW0MPV63XPZM7_bQtkMcFLqaaoJn6xpLQ4qUJWMACYCCIAxD6xZFwHON;;;FORME PARTICOLARI DI RAPPRESENTAZIONE/NARRAZIONE→Enumerazione dei danni e delle vittime;
P-1536-EE-0782;1536 Etna Eruption;;;;Li horrendi, et spaventosi prodigi, et fuochi aparsi in Sicilia nel Monte de Ethna o vero Mongibello con li particolari del danno et la qualità del fuoco con altri successi nel isola;;;;;;1536;Italian;Prose;802758;"Rome, Biblioteca Angelica F.ANT XX.7 13/21; Piacenza, Biblioteca Comunale Passerini-Landi (LP)         183.13; Treviso, Biblioteca Comunale, sede di Borgo Cavour Misc.        0612.18; Venice, Biblioteca Nazionale Marciana MISC 2088.        031";;;;;Documento non recuperato. Informazioni parziali ricavate dai cataloghi delle biblioteche e degli archivi (Rosa Anna)
P-1536-EE-0A65;1536 Etna Eruption;Beatillo, Antonio;;;Historia / della vita, miracoli, traslatione e gloria dell’illustrissimo Confessore di / Christo San Nicolò il Magno Arcivescovo di Mira Patrone, e Protettore della / Città di Bari composta dal Padre Antonio Beatillo da Bari della Compagnia di / Giesù, e dall’istesso nella seconda, e terza edittione accresciuta in alcune / cose, e ridotta per tutto à maggior brevità;Pizzana, Nicolò;Per Nicolò Pizzana;Venice;During an eruption of Etna in 1537, San Nicolò saved a monastery consecrated to him from destruction.;;1705;Italian;Prose;;Madrid, Biblioteca de la Universidad Complutense de Madrid BH FLL 7605;https://books.googleusercontent.com/books/content?req=AKW5QafvkrCZJvAQOHx69TjN7m_WuHNA-BOAxmsaJQXYLjYMMXZGnqzqT2ooO0-GD7MpO7GczjnvIiLq6YfwtuIG_U8nxXEnX7ODRfUMYoHmniB6id982temu8J0FwHdIBm_nZB1jnFxe8tq-HUs1cqIq7s8ZRH7dWpFaYmwv-D6tn1nj6kST4mF1FY5PY5a-Sq7vFNTP;;;TOPOI DELLA NARRAZIONE→Miracoli, prodigi, Interventi soprannaturali;
P-1536-EE-0A67;1536 Etna Eruption;;;;;;;;;;;;;;;;;;;
P-1536-LE-07DD;1536 Genoa Earthquake;;;;"Il Gran terremoto tratto nella città di Genua il quale ha fatto ruinar case, palazzi, torre, e disperdere donne gravide, &amp; morte assai persone, e questo si dice esser stato cagione le gran baratterie, e il gran biastemare che si fa in esse Dio, e santi, &amp; la gloriosa Vergine Maria";Bellone, Antonio;;Genoa;;;1536;Italian;Prose;;Turin, Biblioteca Reale MISC.316.2;;;"Editio sine notis, but imprint information (place: Genoa; printer: Antonio Bellone; year: 1536) is documented by the SBN OPAC&nbsp;with the reference:&nbsp;O. Cartaregia, Per un censimento delle edizioni uscite dall'officina tipografica della famiglia Bellone, p. 23, n. 9 (https://opac.sbn.it/risultati-ricerca-avanzata/-/opac-adv/index/1/ITICCUCNCE021554?fieldstruct%5B1%5....";;
P-1538-MN-0003;1538 Monte Nuovo Eruption;Marchesino, Francesco;;;Copia de una lettera di Napoli che contiene li stupendi, et gran prodigii apparsi sopra a Pozzolo;Borgo, Giovanni Antonio;;Milan;Francesco Marchesino, a Milanese publisher, was among the curious observers of the sudden eruption of Mount Nuovo. He documented this natural event in a letter, subsequently printed, describing the awe-inspiring phenomena of the eruption and the fear it generated. Marchesino recounted a devotional procession culminating in the ritual beheading of Saint Gennaro in the chapel where the martyrdom occurred in the vicinity of Pozzuoli. In the following passages, the letter focused on the Viceroy's visit to the disaster-stricken areas, accompanied by philosophers who framed the event within Aristotelian theses.;;1539;Italian;Prose;802830;"Paris, Bibliothèque Mazarine 4° 14771 A-34; Munich, Bayerische Staatsbibliothek Res/4 Phys.sp. 300,16";https://opacplus.bsb-muenchen.de/title/BV001397171;I-1538-MN-0220 / 1538 Monte Nuovo Eruption / View of Monte Nuovo (This document includes);;RISPOSTE ISTITUZIONALI→Inchiesta sugli effetti del disastro;nel mio database ho questo esemplare digitalizzato Di Napoli, Alli. V. d'Ottobre. M.D.XXXVIII. : https://opacplus.bsb-muenchen.de/title/BV001397171 (Milena)
P-1538-MN-0004;1538 Monte Nuovo Eruption;Falconi, Marcantonio;All'illustrissima signora marchesa della Padula; (Marquise of Padula);Dell'incendio di Pozzuolo;Sultzbach, Giovanni;Napoli, Giovanni Sultzbach, 1539 (Si venne per Marco Antonio Passaro alli Ferri vecchi);Naples;Marco Antonio delli Falconi, a renowned scholar in classical languages, was a contemporary witness to the 1538 eruption of Monte Nuovo. His work is noteworthy for describing the panic and and flight of the people of Pozzuoli during the disaster. The text offers a detailed account of the eruption's initial hours and cites Aristotle's theories to explain seismic and volcanic activity. Falconi's work defends the peripatetic perspective on natural disasters' natural origins, contrasting with contemporary prophecies. His optimism is based on the observation that the consumption of dead birds and fish had not harmed anyone following the eruption.;;1539;Italian;Prose;828671;"Florence, Biblioteca Nazionale Centrale TARG. MISC.228.4; Naples, Biblioteca della Società Napoletana di Storia Patria SISMICA 07.E. 038";https://books.google.es/books?id=GZWcQN8cZu0C&printsec=frontcover&hl=ca&source=gbs_ge_summary_r&cad=0;"I-1538-MN-021E / 1538 Monte Nuovo Eruption / View of Monte Nuovo (This document includes); M-1538-MN-0677 / 1538 Monte Nuovo Eruption / In the 2nd vol. of his handwritten book titled 'Varii Discorsi', the fountaineer G.A. Nigrone mentions a series of disasters that struck Naples and Southern Italy in the previous centuries, including the eruption of Monte Nuovo in 1538. He states that he derived the information on this event from his father's accounts, yet his description is very similar to that published in 1539 by M.A Delli Falconi. The author challenges the idea that such events are a prelude to other disasters, but may be followed by disasters 'naturally' connected to them, such as drought and famine (This document is summarized in)";;INTERPRETAZIONE→Aristotelismo/tomismo;
